Date,Transaction Description,Debit,Credit,Currency,CardName,Transaction,Location
12-01-2018,STIC TRAVELS PVT LTD DELHI,,32256.00,INR,Rahul,domestic,delhi
13-01-2018,FLIPKART INTERNET PRIVATE BANGALORE,21168.00,,INR,Rahul,domestic,bangalore
14-01-2018,FLEMINGO DUTY FREE Mumbai,18796.99,,INR,Rahul,domestic,mumbai
14-01-2018,AIRTEL PAYMENT MUMBAI,1297.00,,INR,Rahul,domestic,mumbai
14-01-2018,AIRTEL PAYMENT CHENNAI,,902.00,INR,Rahul,domestic,chennai
22-01-2018,FLIPKART INTERNET PRIVATE BANGALORE,5000.00,,INR,Rahul,domestic,bangalore
17-01-2018,PAYTM NOIDA,165.00,,INR,Ritu,domestic,noida
17-01-2018,BIKANERVALA GURGAON,325.00,,INR,Ritu,domestic,gurgaon
19-01-2018,VFS GLOBAL SERVICES PVT MUMBAI,1200.00,,INR,Ritu,domestic,mumbai
21-01-2018,Amazon Seller Services BANGALORE,,2155.00,INR,Ritu,domestic,bangalore
13-01-2018,SRILANKANUPGRADE KATUNAYAKE,6.00,,EUR,Rahul,international,katunayake
14-01-2018,HEALTHGUARD LIMITED KATUNAYAKE,,5.00,USD,Rahul,international,katunayake
14-01-2018,FOOT RUB BERLIN,20.00,,EUR,Rahul,international,berlin
20-01-2018,California Games CALIFORNIA,100.00,,USD,Rahul,international,california
30-01-2018,NewYorkShop NEWYORK,,200.00,USD,Rahul,international,newyork
08-02-2018,EURO WINGS DUSSELDOR,5.00,,EUR,Rahul,international,dusseldor
